,genres
0,british soul
1,pop
2,pop soul
3,uk pop
4,australian hip hop
5,lgbtq+ hip hop
6,pop
7,pop
8,uk pop
9,pop
10,uk pop
11,permanent wave
12,pop
13,latin
14,reggaeton
15,trap latino
16,dance pop
17,pop
18,afro r&b
19,afro r&b
20,lgbtq+ hip hop
21,pop
22,dance pop
23,pop
24,indie rock italiano
25,italian pop
26,alternative hip hop
27,lgbtq+ hip hop
28,pop
29,dance pop
30,pop
31,latin
32,latin hip hop
33,latin pop
34,pop reggaeton
35,reggaeton
36,trap latino
37,latin
38,reggaeton
39,trap latino
40,dance pop
41,pop
42,uk pop
43,belgian edm
44,edm
45,pop
46,pop dance
47,tropical house
48,puerto rican pop
49,trap latino
50,bachata
51,bachata dominicana
52,latin
53,latin hip hop
54,latin pop
55,trap latino
56,tropical
57,big room
58,brostep
59,dance pop
60,dutch edm
61,edm
62,house
63,pop
64,pop dance
65,slap house
66,trance
67,tropical house
68,modern alternative rock
69,modern rock
70,pop
71,latin
72,latin hip hop
73,reggaeton
74,reggaeton flow
75,trap latino
76,chicago indie
77,indie pop
78,dance pop
79,pop
80,pop dance
81,tropical house
82,uk dance
83,colombian pop
84,reggaeton colombiano
85,british soul
86,pop
87,pop soul
88,uk pop
89,british soul
90,pop
91,pop soul
92,uk pop
93,british soul
94,pop
95,pop soul
96,uk pop
97,trap argentino
98,trap argentino
99,trap triste
100,cumbia 420
101,rkt
102,argentine hip hop
103,trap argentino
104,trap latino
105,trap triste
106,pop argentino
107,trap argentino
108,cumbia 420
109,rkt
110,latin
111,latin pop
112,pop venezolano
113,reggaeton
114,trap latino
115,cumbia 420
116,rkt
117,argentine hip hop
118,bases de freestyle
119,trap argentino
120,trap latino
121,trap argentino
122,cumbia pop
123,argentine hip hop
124,pop venezolano
125,trap argentino
126,trap latino
127,concurso de talentos argentino
128,pop argentino
129,latin
130,latin hip hop
131,rap dominicano
132,reggaeton
133,trap latino
134,puerto rican pop
135,trap latino
136,latin pop
137,pop argentino
138,concurso de talentos argentino
139,latin
140,reggaeton
141,reggaeton colombiano
142,cumbia pop
143,latin pop
144,argentine hip hop
145,r&b argentino
146,trap argentino
147,trap latino
148,reggaeton
149,trap latino
150,argentine hip hop
151,pop venezolano
152,trap argentino
153,trap latino
154,latin
155,latin pop
156,pop venezolano
157,reggaeton
158,trap latino
159,cumbia pop
160,latin pop
161,argentine hip hop
162,trap argentino
163,trap latino
164,trap triste
165,latin pop
166,pop argentino
167,cumbia 420
168,rkt
169,cuarteto
170,cumbia pop
171,spanish pop
172,argentine hip hop
173,trap argentino
174,trap latino
175,trap triste
176,cumbia 420
177,rkt
178,trap argentino
179,trap latino
180,trap triste
181,modern indie pop
182,brooklyn drill
183,nyc rap
184,folk-pop
185,modern rock
186,pop
187,pop rock
188,alt z
189,gen z singer-songwriter
190,pop
191,modern rock
192,uk pop
193,album rock
194,classic rock
195,mellow gold
196,rock
197,soft rock
198,yacht rock
199,dance pop
200,hip hop
201,pittsburgh rap
202,pop rap
203,rap
204,southern hip hop
205,trap
206,dance pop
207,pop
208,drill brasileiro
209,german hip hop
210,german hip hop
211,german hip hop
212,german hip hop
213,german trap
214,german hip hop
215,german trap
216,dance pop
217,pop
218,pop rap
219,post-teen pop
220,german pop
221,aussietronica
222,volkspop
223,alt z
224,indie poptimism
225,modern rock
226,pop
227,indie rock italiano
228,italian pop
229,german hip hop
230,german trap
231,dance pop
232,pop
233,post-teen pop
234,francoton
235,french hip hop
236,pop urbaine
237,rap francais
238,french hip hop
239,pop urbaine
240,belgian dance
241,belgian edm
242,kleinkunst
243,belgian pop
244,dance pop
245,pop
246,uk pop
247,chill pop
248,pop
249,british soul
250,pop
251,pop soul
252,uk pop
253,latin
254,reggaeton
255,trap latino
256,cumbia boliviana
257,pop reggaeton
258,latin
259,reggaeton
260,trap latino
261,latin
262,panamanian pop
263,reggaeton
264,trap latino
265,latin
266,reggaeton
267,reggaeton colombiano
268,latin
269,reggaeton
270,trap latino
271,dance pop
272,latin
273,latin pop
274,mexican pop
275,pop
276,reggaeton
277,argentine hip hop
278,pop venezolano
279,trap argentino
280,trap latino
281,latin
282,reggaeton
283,trap latino
284,latin
285,reggaeton
286,trap latino
287,latin
288,latin hip hop
289,reggaeton
290,trap latino
291,puerto rican pop
292,trap latino
293,latin
294,reggaeton
295,trap latino
296,forro
297,sertanejo pop
298,sertanejo pop
299,funk carioca
300,funk mandelao
301,funk viral
302,funk bh
303,funk carioca
304,funk viral
305,rap mineiro
306,funk carioca
307,sertanejo
308,sertanejo universitario
309,funk carioca
310,pop
311,pop lgbtq+ brasileira
312,sertanejo
313,sertanejo universitario
314,r&b brasileiro
315,rap cearense
316,trap brasileiro
317,funk carioca
318,nova mpb
319,pop lgbtq+ brasileira
320,sertanejo
321,sertanejo universitario
322,sertanejo
323,sertanejo universitario
324,sertanejo pop
325,sertanejo
326,sertanejo
327,sertanejo pop
328,sertanejo universitario
329,rap mineiro
330,sertanejo pop
331,sertanejo universitario
332,batidao romantico
333,funk carioca
334,sertanejo pop
335,forro
336,sertanejo pop
337,sertanejo pop
338,sertanejo
339,sertanejo
340,sertanejo universitario
341,funk bh
342,funk carioca
343,trap baiano
344,sertanejo
345,sertanejo universitario
346,sertanejo
347,sertanejo universitario
348,forro
349,piseiro
350,funk carioca
351,funk ostentacao
352,funk paulista
353,piseiro
354,bulgarian pop
355,chalga
356,bulgarian pop
357,glitchcore
358,bulgarian pop
359,bulgarian pop
360,bulgarian hip hop
361,bulgarian pop
362,chalga
363,bulgarian pop
364,bulgarian pop
365,bulgarian pop
366,chalga
367,bulgarian hip hop
368,bulgarian pop
369,chalga
370,dance pop
371,pop
372,bulgarian pop
373,chalga
374,bulgarian pop
375,bulgarian pop
376,chalga
377,bulgarian pop
378,chalga
379,indie rock italiano
380,italian pop
381,indie rock italiano
382,italian pop
383,bulgarian pop
384,chalga
385,bulgarian pop
386,canadian hip hop
387,dark trap
388,vapor trap
389,brooklyn drill
390,melodic rap
391,nyc rap
392,atl hip hop
393,atl trap
394,gangster rap
395,hip hop
396,melodic rap
397,rap
398,trap
399,hip hop
400,rap
401,contemporary country
402,country
403,country road
404,modern country rock
405,trap chileno
406,trap latino
407,trap triste
408,trap chileno
409,trap latino
410,trap latino
411,mambo chileno
412,reggaeton chileno
413,reggaeton flow
414,trap latino
415,reggaeton chileno
416,latin
417,latin hip hop
418,perreo
419,reggaeton
420,reggaeton flow
421,trap latino
422,rap chileno
423,reggaeton flow
424,trap latino
425,latin
426,reggaeton
427,trap latino
428,reggaeton
429,trap latino
430,mambo chileno
431,reggaeton flow
432,trap latino
433,latin
434,latin hip hop
435,reggaeton
436,trap latino
437,reggaeton
438,trap latino
439,trap colombiano
440,trap colombiano
441,reggaeton
442,trap latino
443,latin
444,latin hip hop
445,latin pop
446,reggaeton
447,reggaeton colombiano
448,trap latino
449,trap colombiano
450,reggaeton
451,trap latino
452,reggaeton
453,trap latino
454,reggaeton
455,trap latino
456,reggaeton
457,trap latino
458,latin
459,latin hip hop
460,latin pop
461,reggaeton
462,reggaeton colombiano
463,trap latino
464,musica costarricense
465,pop costarricense
466,permanent wave
467,pop
468,permanent wave
469,pop
470,latin
471,reggaeton
472,trap latino
473,dance pop
474,edm
475,electropop
476,pop
477,pop dance
478,tropical house
479,latin
480,reggaeton
481,trap latino
482,permanent wave
483,pop
484,czsk hip hop
485,romanian pop
486,czsk hip hop
487,czech metal
488,czech rock
489,czech hip hop
490,czsk hip hop
491,czsk hip hop
492,czsk hip hop
493,big room
494,brostep
495,dance pop
496,dutch edm
497,edm
498,house
499,pop
500,pop dance
501,slap house
502,trance
503,tropical house
504,cali rap
505,pop rap
506,czech hip hop
507,czsk hip hop
508,czech folk
509,czech pop rock
