,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo_x,duration_ms,time_signature,update_dttm,name,artist,album_img,preview_url,popularity,cluster,Unnamed: 0,chroma,chroma_cens,mff,spectral_centroid,spectral_bandwidth,spectral_contrast,spectral_flatness,Spectral_Rolloff,poly_features,tonnetz,ZCR,onset_strength,pitch,magnitude,tempo_y
0,0gplL1WMoJ6iYaPgMCL0gX,0.604,0.366,5,-7.519,1,0.0282,0.578,0.0,0.133,0.13,141.981,224695,4,2021-11-24 18:24:34.661436,Easy On Me,Adele,https://i.scdn.co/image/ab67616d0000b27350dba34377a595e35f81b0e4,https://p.scdn.co/mp3-preview/c5014be1aeb2ab5f129e2789eff3ea87ecd5027f?cid=92635a7f55d045ebb6fb8dee4927d449,100,0,0.0,0.28596696,0.2152565183778572,4.5777745,2361.75945985446,2706.643700825267,24.713588979200164,0.008881651,5533.999869993228,2.47178532301221,0.0214913799184409,0.0869450524864551,1.3764478,8.89463,0.27014005,143.5546875
1,5PjdY0CKGZdEuoNab3yDmX,0.591,0.764,1,-5.484,1,0.0483,0.0383,0.0,0.103,0.478,169.928,141806,4,2021-11-24 18:24:34.661436,STAY (with Justin Bieber),The Kid LAROI,https://i.scdn.co/image/ab67616d0000b2738e6551a2944764bc8e33a960,https://p.scdn.co/mp3-preview/dd4d8d66b97b6edcb5358135e72620715e1449f9?cid=92635a7f55d045ebb6fb8dee4927d449,91,4,1.0,0.37063235,0.2489721964102359,7.376078,2704.788753167085,2800.9041780832767,21.101279461228767,0.027750738,6102.838096972959,3.796993002925968,-0.0277756666923857,0.1071766005950077,1.5048147,13.420836,0.28461888,172.265625
2,5Z9KJZvQzH6PFmb8SNkxuk,0.741,0.691,10,-7.395,0,0.0672,0.0221,0.0,0.0476,0.892,150.087,212353,4,2021-11-24 18:24:34.661436,INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,https://i.scdn.co/image/ab67616d0000b273be82673b5f79d9658ec0a9fd,https://p.scdn.co/mp3-preview/c1cb40d748692992bd5e476fc17ffe16f31016e3?cid=92635a7f55d045ebb6fb8dee4927d449,90,5,2.0,0.5010787,0.2298767310046219,3.85115,2936.922088486708,2847.2549984456464,20.76784876789109,0.036877837,6384.803058636077,2.731199913758476,-0.0173144126104916,0.1188239224554953,1.4881753,22.163973,0.18758991,151.99908088
3,02MWAaffLxlfxAUY7c5dvx,0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,238805,4,2021-11-24 18:24:34.661436,Heat Waves,Glass Animals,https://i.scdn.co/image/ab67616d0000b2739e495fb707973f3390850eea,,91,6,,,,,,,,,,,,,,,,
4,7rglLriMNBPAyuJOMGwi39,0.795,0.8,1,-6.32,1,0.0309,0.0354,7.25e-05,0.0915,0.934,116.032,202735,4,2021-11-24 18:24:34.661436,Cold Heart - PNAU Remix,Elton John,https://i.scdn.co/image/ab67616d0000b273523458c391fe8180a19a1069,,85,6,,,,,,,,,,,,,,,,
5,7hU3IHwjX150XLoTVmjD0q,0.831,0.554,1,-9.998,0,0.218,0.161,6.12e-05,0.152,0.396,140.026,168228,4,2021-11-24 18:24:34.661436,MONEY,LISA,https://i.scdn.co/image/ab67616d0000b273330f11fb125bb80b760f9e19,,92,2,,,,,,,,,,,,,,,,
6,75MNhvTCCKsST3YqqUiU9r,0.788,0.859,2,-2.724,1,0.0856,0.281,0.0,0.0424,0.822,141.02,207853,4,2021-11-24 18:24:34.661436,Shivers,Ed Sheeran,https://i.scdn.co/image/ab67616d0000b2730ec1f3493edc0c888ff2d57c,https://p.scdn.co/mp3-preview/bb9f413d6876e265d09a5d2d93345c64f8ac4de8?cid=92635a7f55d045ebb6fb8dee4927d449,91,6,3.0,0.36763301,0.254582658217757,4.0924945,3656.404596103506,2992.14109914372,20.75926974188244,0.07292712,7375.49706804494,4.140634712246405,0.005475891080272,0.2017497248693885,1.5566232,38.060577,0.5503079,143.5546875
7,6PQ88X9TkUIAUIZJHW2upE,0.808,0.897,11,-3.712,0,0.0348,0.0469,3.14e-05,0.364,0.591,126.026,231041,4,2021-11-24 18:24:34.661436,Bad Habits,Ed Sheeran,https://i.scdn.co/image/ab67616d0000b2734e03a288fd79707055759f9c,,94,5,4.0,0.398718,0.2543390293372874,8.43274,2114.8582754828494,2618.297533537587,21.44389694706016,0.015265684,5063.077717595056,3.635839687895971,0.0084327215622818,0.0643884995404411,1.640611,7.8829374,0.2863581,123.046875
8,46HNZY1i7O6jwTA7Slo2PI,0.573,0.711,1,-6.268,0,0.0406,0.0114,0.0,0.328,0.47,105.006,226198,4,2021-11-24 18:24:34.661436,My Universe,Coldplay,https://i.scdn.co/image/ab67616d0000b273ec10f247b100da1ce0d80b6d,https://p.scdn.co/mp3-preview/5da74c03a1f17ed58315050022c1452fb431a2ad?cid=92635a7f55d045ebb6fb8dee4927d449,85,1,5.0,0.41455984,0.2620320620741622,9.848547,2563.3043990966703,2681.4036933904204,20.361921823048217,0.026234178,5718.948751632644,4.649403217169277,-0.0093020410817972,0.1064029847136222,1.1570448,19.242746,0.45513046,103.359375
9,2B4GHvToeLTOBB4QLzW3Ni,0.762,0.766,7,-3.955,1,0.0343,0.00776,6.98e-05,0.128,0.442,130.001,287120,4,2021-11-24 18:24:34.661436,Pepas,Farruko,https://i.scdn.co/image/ab67616d0000b273f1bd89fe6542ac73b8555f73,https://p.scdn.co/mp3-preview/890f6034cf93d666d0f89d5724430c6ddd276eb2?cid=92635a7f55d045ebb6fb8dee4927d449,84,6,6.0,0.327843,0.2636107764317584,4.6036396,2568.727683042838,2657.36960794022,20.402135500953936,0.027949354,5744.123599403783,3.4080964704737617,0.036640592909134,0.1095344850522445,1.4624873,23.219154,0.43008718,129.19921875
10,2gpWyfu7eZ01zzncHpxOtA,0.542,0.659,8,-7.289,1,0.0389,0.00279,0.0,0.105,0.109,120.122,234000,4,2021-11-24 18:24:34.661436,Moth To A Flame (with The Weeknd),Swedish House Mafia,https://i.scdn.co/image/ab67616d0000b2732751f15ff6c8174e540b6fb4,,92,4,,,,,,,,,,,,,,,,
11,6Uj1ctrBOjOas8xZXGqKk4,0.824,0.764,5,-4.175,0,0.0854,0.0888,0.00294,0.117,0.881,107.998,172627,4,2021-11-24 18:24:34.661436,Woman,Doja Cat,https://i.scdn.co/image/ab67616d0000b2734df3245f26298a1579ecc321,https://p.scdn.co/mp3-preview/5f583b2ce5aff7762b6611a85907d55349a62db1?cid=92635a7f55d045ebb6fb8dee4927d449,95,5,7.0,0.41328987,0.2788533941708519,4.1942325,2373.4950904119823,2606.937008582522,19.895880919056985,0.024418214,5194.826920925649,3.574860723446265,0.01158947705128,0.088993792932469,2.1165042,16.63913,0.32748726,107.66601562
12,2Xr1dTzJee307rmrkt8c0g,0.727,0.739,8,-3.805,1,0.0411,0.365,0.00137,0.161,0.533,93.005,145800,4,2021-11-24 18:24:34.661436,love nwantiti (ah ah ah),CKay,https://i.scdn.co/image/ab67616d0000b273405fdad252857e01dbced96a,https://p.scdn.co/mp3-preview/a04d7225d1bce725dc9ee38e8fed32b56368d562?cid=92635a7f55d045ebb6fb8dee4927d449,94,6,8.0,0.34621936,0.2590291399957295,2.83783,2376.5886023030434,2755.1001121517056,21.41084525190886,0.021176947,5721.140405046682,3.4913937395735624,-0.0027625923096924,0.0791676996662151,1.7076746,12.559376,0.4159629,184.5703125
13,4gvrJnKCKIPiacNsWVQwEU,0.579,0.596,8,-4.823,1,0.0561,0.436,0.0938,0.0549,0.443,119.9,188369,3,2021-11-24 18:24:34.661436,love nwantiti (feat. Dj Yo! & AX'EL) - Remix,CKay,https://i.scdn.co/image/ab67616d0000b27339bb326b58346f99b8692745,https://p.scdn.co/mp3-preview/fbbecf458216fefa0e48c4b498fee4f5875ba2fa?cid=92635a7f55d045ebb6fb8dee4927d449,93,6,9.0,0.391757,0.2385185663735883,4.847871,1510.376870325806,1964.4354245638265,21.609063231293508,0.010296955,3041.423275596217,3.3130185762165647,-0.0006695916508208,0.0528908366389318,1.625922,10.201238,0.38455436,117.45383523
14,0e8nrvls4Qqv5Rfa2UhqmO,0.737,0.846,1,-4.51,0,0.22,0.00614,0.0,0.0486,0.546,87.981,143901,4,2021-11-24 18:24:34.661436,THATS WHAT I WANT,Lil Nas X,https://i.scdn.co/image/ab67616d0000b273be82673b5f79d9658ec0a9fd,https://p.scdn.co/mp3-preview/75aa4d781c96fe990214d04f4e61efb702bf635c?cid=92635a7f55d045ebb6fb8dee4927d449,94,5,10.0,0.43216753,0.26308123441089,6.2176185,2450.199921063337,2526.714611090429,21.151177216333767,0.023908861,5284.426379129983,3.507524135071594,-0.0158127133990364,0.1038519797310371,1.6443224,17.468414,0.2759872,117.45383523
15,4ZtFanR9U6ndgddUvNcjcG,0.563,0.664,9,-5.044,1,0.154,0.335,0.0,0.0849,0.688,166.928,178147,4,2021-11-24 18:24:34.661436,good 4 u,Olivia Rodrigo,https://i.scdn.co/image/ab67616d0000b273a91c10fe9472d9bd89802e5a,,94,4,,,,,,,,,,,,,,,,
16,3Vi5XqYrmQgOYBajMWSvCi,0.664,0.609,1,-6.509,1,0.0707,0.304,0.0,0.0926,0.194,130.041,210560,4,2021-11-24 18:24:34.661436,Need to Know,Doja Cat,https://i.scdn.co/image/ab67616d0000b2734df3245f26298a1579ecc321,https://p.scdn.co/mp3-preview/ed198c528573d97b1ef0c730af1da4f875fc04a4?cid=92635a7f55d045ebb6fb8dee4927d449,93,6,11.0,0.3752315,0.2284712421718155,0.62494594,3241.6752200315964,3048.1157896192385,21.15898413277064,0.030435568,7022.099204993469,2.59515822284286,-0.0517593802941068,0.1246292539425309,1.6293318,13.900156,0.19383483,129.19921875
