id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,update_dttm,name,artist,album_img,preview_url
0gplL1WMoJ6iYaPgMCL0gX,0.604,0.366,5,-7.519,1,0.0282,0.578,0.0,0.133,0.13,141.981,224695,4,2021-11-20 10:26:23.402031,Easy On Me,Adele,https://i.scdn.co/image/ab67616d0000b27350dba34377a595e35f81b0e4,https://p.scdn.co/mp3-preview/c5014be1aeb2ab5f129e2789eff3ea87ecd5027f?cid=92635a7f55d045ebb6fb8dee4927d449
5PjdY0CKGZdEuoNab3yDmX,0.591,0.764,1,-5.484,1,0.0483,0.0383,0.0,0.103,0.478,169.928,141806,4,2021-11-20 10:26:23.402031,STAY (with Justin Bieber),The Kid LAROI,https://i.scdn.co/image/ab67616d0000b2738e6551a2944764bc8e33a960,https://p.scdn.co/mp3-preview/dd4d8d66b97b6edcb5358135e72620715e1449f9?cid=92635a7f55d045ebb6fb8dee4927d449
5Z9KJZvQzH6PFmb8SNkxuk,0.741,0.691,10,-7.395,0,0.0672,0.0221,0.0,0.0476,0.892,150.087,212353,4,2021-11-20 10:26:23.402031,INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,https://i.scdn.co/image/ab67616d0000b273be82673b5f79d9658ec0a9fd,https://p.scdn.co/mp3-preview/c1cb40d748692992bd5e476fc17ffe16f31016e3?cid=92635a7f55d045ebb6fb8dee4927d449
02MWAaffLxlfxAUY7c5dvx,0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,238805,4,2021-11-20 10:26:23.402031,Heat Waves,Glass Animals,https://i.scdn.co/image/ab67616d0000b2739e495fb707973f3390850eea,
7rglLriMNBPAyuJOMGwi39,0.795,0.8,1,-6.32,1,0.0309,0.0354,7.25e-05,0.0915,0.934,116.032,202735,4,2021-11-20 10:26:23.402031,Cold Heart - PNAU Remix,Elton John,https://i.scdn.co/image/ab67616d0000b273523458c391fe8180a19a1069,
7hU3IHwjX150XLoTVmjD0q,0.831,0.554,1,-9.998,0,0.218,0.161,6.12e-05,0.152,0.396,140.026,168228,4,2021-11-20 10:26:23.402031,MONEY,LISA,https://i.scdn.co/image/ab67616d0000b273330f11fb125bb80b760f9e19,
75MNhvTCCKsST3YqqUiU9r,0.788,0.859,2,-2.724,1,0.0856,0.281,0.0,0.0424,0.822,141.02,207853,4,2021-11-20 10:26:23.402031,Shivers,Ed Sheeran,https://i.scdn.co/image/ab67616d0000b2730ec1f3493edc0c888ff2d57c,https://p.scdn.co/mp3-preview/bb9f413d6876e265d09a5d2d93345c64f8ac4de8?cid=92635a7f55d045ebb6fb8dee4927d449
6PQ88X9TkUIAUIZJHW2upE,0.808,0.897,11,-3.712,0,0.0348,0.0469,3.14e-05,0.364,0.591,126.026,231041,4,2021-11-20 10:26:23.402031,Bad Habits,Ed Sheeran,https://i.scdn.co/image/ab67616d0000b2734e03a288fd79707055759f9c,
46HNZY1i7O6jwTA7Slo2PI,0.573,0.711,1,-6.268,0,0.0406,0.0114,0.0,0.328,0.47,105.006,226198,4,2021-11-20 10:26:23.402031,My Universe,Coldplay,https://i.scdn.co/image/ab67616d0000b273ec10f247b100da1ce0d80b6d,https://p.scdn.co/mp3-preview/5da74c03a1f17ed58315050022c1452fb431a2ad?cid=92635a7f55d045ebb6fb8dee4927d449
2B4GHvToeLTOBB4QLzW3Ni,0.762,0.766,7,-3.955,1,0.0343,0.00776,6.98e-05,0.128,0.442,130.001,287120,4,2021-11-20 10:26:23.402031,Pepas,Farruko,https://i.scdn.co/image/ab67616d0000b273f1bd89fe6542ac73b8555f73,https://p.scdn.co/mp3-preview/890f6034cf93d666d0f89d5724430c6ddd276eb2?cid=92635a7f55d045ebb6fb8dee4927d449
2gpWyfu7eZ01zzncHpxOtA,0.542,0.659,8,-7.289,1,0.0389,0.00279,0.0,0.105,0.109,120.122,234000,4,2021-11-20 10:26:23.402031,Moth To A Flame (with The Weeknd),Swedish House Mafia,https://i.scdn.co/image/ab67616d0000b2732751f15ff6c8174e540b6fb4,
6Uj1ctrBOjOas8xZXGqKk4,0.824,0.764,5,-4.175,0,0.0854,0.0888,0.00294,0.117,0.881,107.998,172627,4,2021-11-20 10:26:23.402031,Woman,Doja Cat,https://i.scdn.co/image/ab67616d0000b2734df3245f26298a1579ecc321,https://p.scdn.co/mp3-preview/5f583b2ce5aff7762b6611a85907d55349a62db1?cid=92635a7f55d045ebb6fb8dee4927d449
2Xr1dTzJee307rmrkt8c0g,0.727,0.739,8,-3.805,1,0.0411,0.365,0.00137,0.161,0.533,93.005,145800,4,2021-11-20 10:26:23.402031,love nwantiti (ah ah ah),CKay,https://i.scdn.co/image/ab67616d0000b273405fdad252857e01dbced96a,https://p.scdn.co/mp3-preview/a04d7225d1bce725dc9ee38e8fed32b56368d562?cid=92635a7f55d045ebb6fb8dee4927d449
4gvrJnKCKIPiacNsWVQwEU,0.579,0.596,8,-4.823,1,0.0561,0.436,0.0938,0.0549,0.443,119.9,188369,3,2021-11-20 10:26:23.402031,love nwantiti (feat. Dj Yo! & AX'EL) - Remix,CKay,https://i.scdn.co/image/ab67616d0000b27339bb326b58346f99b8692745,https://p.scdn.co/mp3-preview/fbbecf458216fefa0e48c4b498fee4f5875ba2fa?cid=92635a7f55d045ebb6fb8dee4927d449
0e8nrvls4Qqv5Rfa2UhqmO,0.737,0.846,1,-4.51,0,0.22,0.00614,0.0,0.0486,0.546,87.981,143901,4,2021-11-20 10:26:23.402031,THATS WHAT I WANT,Lil Nas X,https://i.scdn.co/image/ab67616d0000b273be82673b5f79d9658ec0a9fd,https://p.scdn.co/mp3-preview/75aa4d781c96fe990214d04f4e61efb702bf635c?cid=92635a7f55d045ebb6fb8dee4927d449
4ZtFanR9U6ndgddUvNcjcG,0.563,0.664,9,-5.044,1,0.154,0.335,0.0,0.0849,0.688,166.928,178147,4,2021-11-20 10:26:23.402031,good 4 u,Olivia Rodrigo,https://i.scdn.co/image/ab67616d0000b273a91c10fe9472d9bd89802e5a,
3Vi5XqYrmQgOYBajMWSvCi,0.664,0.609,1,-6.509,1,0.0707,0.304,0.0,0.0926,0.194,130.041,210560,4,2021-11-20 10:26:23.402031,Need to Know,Doja Cat,https://i.scdn.co/image/ab67616d0000b2734df3245f26298a1579ecc321,https://p.scdn.co/mp3-preview/ed198c528573d97b1ef0c730af1da4f875fc04a4?cid=92635a7f55d045ebb6fb8dee4927d449
3Wrjm47oTz2sjIgck11l5e,0.714,0.8,11,-4.808,0,0.0504,0.127,0.0,0.359,0.589,134.002,211560,4,2021-11-20 10:26:23.402031,Beggin',Måneskin,https://i.scdn.co/image/ab67616d0000b273fa0ab3a28b5c52d8a5f97045,https://p.scdn.co/mp3-preview/c956a56a9a3103ad75e95ce2cbb03a0bdd26332b?cid=92635a7f55d045ebb6fb8dee4927d449
0eu4C55hL6x29mmeAjytzC,0.7,0.49,0,-5.187,1,0.076,0.186,0.0,0.117,0.569,79.982,161803,4,2021-11-20 10:26:23.402031,Life Goes On,Oliver Tree,https://i.scdn.co/image/ab67616d0000b2731c5a484110522f2b9c7038cc,https://p.scdn.co/mp3-preview/8263e9905c7744096b876feb779190c14eee550c?cid=92635a7f55d045ebb6fb8dee4927d449
1SC5rEoYDGUK4NfG82494W,0.593,0.503,8,-6.725,0,0.22,0.293,0.0,0.405,0.71,178.781,137704,4,2021-11-20 10:26:23.402031,MONTERO (Call Me By Your Name),Lil Nas X,https://i.scdn.co/image/ab67616d0000b273be82673b5f79d9658ec0a9fd,https://p.scdn.co/mp3-preview/a6e05149543aaa36a3a87ca26665fbd9043f85fd?cid=92635a7f55d045ebb6fb8dee4927d449
3DarAbFujv6eYNliUTyqtz,0.764,0.705,8,-3.463,1,0.0284,0.259,8.92e-05,0.12,0.781,110.97,208667,4,2021-11-20 10:26:23.402031,Kiss Me More (feat. SZA),Doja Cat,https://i.scdn.co/image/ab67616d0000b2734df3245f26298a1579ecc321,https://p.scdn.co/mp3-preview/43a9157b0d8e28bfbade57804a06344894336755?cid=92635a7f55d045ebb6fb8dee4927d449
4gzsuuZypVbxs0Af1LSZyB,0.639,0.703,4,-6.33,0,0.0794,0.0889,1.78e-06,0.0865,0.138,169.888,207301,4,2021-11-20 10:26:23.402031,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),Tainy,https://i.scdn.co/image/ab67616d0000b273d2dcc68851d00413147d9af6,https://p.scdn.co/mp3-preview/1dcdeca78007b79c6cf5ffe3785f302e11b487e4?cid=92635a7f55d045ebb6fb8dee4927d449
4RVwu0g32PAqgUiJoXsdF8,0.332,0.225,0,-8.697,1,0.0348,0.767,0.00349,0.128,0.297,81.055,298899,3,2021-11-20 10:26:23.402031,Happier Than Ever,Billie Eilish,https://i.scdn.co/image/ab67616d0000b2732a038d3bf875d23e4aeaa84e,
07MDkzWARZaLEdKxo6yArG,0.773,0.47,2,-7.93,1,0.0299,0.0153,0.000193,0.0851,0.399,94.995,162680,4,2021-11-20 10:26:23.402031,Meet Me At Our Spot,THE ANXIETY,https://i.scdn.co/image/ab67616d0000b273024ea7e883a713a3ad552a71,
5CZ40GBx1sQ9agT82CLQCT,0.38,0.339,3,-7.885,1,0.0338,0.691,0.0,0.12,0.0849,100.607,229227,4,2021-11-20 10:26:23.402031,traitor,Olivia Rodrigo,https://i.scdn.co/image/ab67616d0000b273a91c10fe9472d9bd89802e5a,
2JPLbjOn0wPCngEot2STUS,0.644,0.648,1,-4.601,1,0.118,0.276,0.0,0.135,0.44,179.951,206710,4,2021-11-20 10:26:23.402031,Yonaguni,Bad Bunny,https://i.scdn.co/image/ab67616d0000b27364afd6879102d03460bd3ad9,https://p.scdn.co/mp3-preview/b856944d671f2d8f997c18684e45bd5f19a0d2db?cid=92635a7f55d045ebb6fb8dee4927d449
0VjIjW4GlUZAMYd2vXMi3b,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,200040,4,2021-11-20 10:26:23.402031,Blinding Lights,The Weeknd,https://i.scdn.co/image/ab67616d0000b2738863bc11d2aa12b54f5aeb36,
5nujrmhLynf4yMoMtj8AQF,0.702,0.825,6,-3.787,0,0.0601,0.00883,0.0,0.0674,0.915,102.977,203064,4,2021-11-20 10:26:23.402031,Levitating (feat. DaBaby),Dua Lipa,https://i.scdn.co/image/ab67616d0000b273d4daf28d55fe4197ede848be,https://p.scdn.co/mp3-preview/a690735072e85bebf1140d542365751629ae3d74?cid=92635a7f55d045ebb6fb8dee4927d449
3uUuGVFu1V7jTQL60S1r8z,0.671,0.636,6,-8.117,0,0.103,0.515,0.000411,0.172,0.262,120.966,148197,4,2021-11-20 10:26:23.402031,Where Are You Now,Lost Frequencies,https://i.scdn.co/image/ab67616d0000b2738d7a7f1855b04104ba59c18b,https://p.scdn.co/mp3-preview/0825558fecb2dd0c63a761fa24e9d25a6192b855?cid=92635a7f55d045ebb6fb8dee4927d449
0k1WUmIRnG3xU6fvvDVfRG,0.803,0.597,11,-6.035,0,0.141,0.000619,4.5e-06,0.323,0.331,136.008,257605,4,2021-11-20 10:26:23.402031,Way 2 Sexy (with Future & Young Thug),Drake,https://i.scdn.co/image/ab67616d0000b273cd945b4e3de57edd28481a3f,
6I3mqTwhRpn34SLVafSH7G,0.601,0.741,2,-5.569,1,0.0478,0.185,2.91e-05,0.415,0.441,153.96,153190,4,2021-11-20 10:26:23.402031,Ghost,Justin Bieber,https://i.scdn.co/image/ab67616d0000b273e6f407c7f3a0ec98845e4431,
5RwV8BvLfX5injfqYodke9,0.78,0.719,3,-3.613,0,0.0506,0.302,0.000196,0.0931,0.336,127.962,199604,4,2021-11-20 10:26:23.402031,Todo De Ti,Rauw Alejandro,https://i.scdn.co/image/ab67616d0000b273c1449d5655128274517f3733,https://p.scdn.co/mp3-preview/e981d51559cbc930957264a6139619b63d6c5198?cid=92635a7f55d045ebb6fb8dee4927d449
2vmfvSoZBFAt9hhRoEByLi,0.725,0.86,1,-3.726,1,0.182,0.422,0.000284,0.0674,0.791,175.896,230125,4,2021-11-20 10:26:23.402031,Volví,Aventura,https://i.scdn.co/image/ab67616d0000b27312bcec4f18ee130369ce170c,https://p.scdn.co/mp3-preview/9ecddd098329e3d9a27c1d9bf668a7060d3eb476?cid=92635a7f55d045ebb6fb8dee4927d449
4iJyoBOLtHqaGxP12qzhQI,0.677,0.696,0,-6.181,1,0.119,0.321,0.0,0.42,0.464,90.03,198082,4,2021-11-20 10:26:23.402031,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,https://i.scdn.co/image/ab67616d0000b273e6f407c7f3a0ec98845e4431,
6f5ExP43esnvdKPddwKXJH,0.717,0.671,0,-5.077,0,0.0337,0.0018,2.54e-06,0.0921,0.699,110.054,160657,4,2021-11-20 10:26:23.402031,Better Days (NEIKED x Mae Muller x Polo G),NEIKED,https://i.scdn.co/image/ab67616d0000b2736b742298f7f36717855c4caf,
6M3PsepEj5gyJoIi7Xvr7u,0.747,0.739,8,-6.008,1,0.0487,0.0106,2.22e-05,0.101,0.523,120.996,220196,4,2021-11-20 10:26:23.402031,Take My Breath,The Weeknd,https://i.scdn.co/image/ab67616d0000b273e6c40bd47002f3faffb31ebe,
0bI7K9Becu2dtXK1Q3cZNB,0.77,0.787,11,-3.748,0,0.0583,0.198,0.0,0.262,0.513,119.986,140500,4,2021-11-20 10:26:23.402031,Don't Be Shy,Tiësto,https://i.scdn.co/image/ab67616d0000b273c9bdd95ff143d01664054fc9,https://p.scdn.co/mp3-preview/54889f56ba255f24b2d7ecbca72fee9bff699332?cid=92635a7f55d045ebb6fb8dee4927d449
