k,inertia,silhouette_score
2,46439.6912660066,0.16917645648690038
3,42675.14943830063,0.10625598692064758
4,40225.73904673018,0.09541905179173915
5,38549.59726007739,0.08892664555325769
6,37154.515056932905,0.08925608633320056
7,36049.62582556544,0.08278311550226687
8,34820.05443815523,0.08552988809601564
9,34073.36100862908,0.08016439172276207
10,33461.441889825546,0.07265784251639017
11,32680.349041813042,0.07473472831117067
12,32192.636769150704,0.07108395741660768
13,31690.162317404105,0.0691322980094945
14,31261.06556954112,0.06959042313769238
15,30846.093208304705,0.06579544566372778
