k,inertia,silhouette_score
2,22770.405129346895,0.19507788199909545
3,20559.47994479178,0.17016338397718073
4,18848.132370356478,0.13786713234721565
5,17383.803104943167,0.14140686605657612
6,16290.623126423741,0.1390380536290399
7,15463.19267769579,0.14249761473013856
8,14843.581287515728,0.12690281922200375
9,14313.467234475045,0.12247967478046069
10,13818.059346872962,0.12353659988704062
11,13444.906645531624,0.12539031516440935
12,13169.666958331081,0.11795228781108168
13,12794.859599441612,0.12432924665314891
14,12438.982806462074,0.12405665998423546
15,12209.7872136095,0.1182842313449793
