country,market,capture_dttm,track_artist,track_name,track_id,track_popularity,track_number,track_preview_url,track_duration,track_added_date
global,GO,2021-11-14 08:00:03.924434,Taylor Swift,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),5enxwA8aAbwZbf5qCHORXi,79,1,,613026,2021-11-14T09:19:45Z
global,GO,2021-11-14 08:00:03.924434,The Kid LAROI,STAY (with Justin Bieber),5PjdY0CKGZdEuoNab3yDmX,92,2,https://p.scdn.co/mp3-preview/dd4d8d66b97b6edcb5358135e72620715e1449f9?cid=92635a7f55d045ebb6fb8dee4927d449,141805,2021-11-14T09:19:45Z
global,GO,2021-11-14 08:00:03.924434,Adele,Easy On Me,0gplL1WMoJ6iYaPgMCL0gX,100,3,https://p.scdn.co/mp3-preview/c5014be1aeb2ab5f129e2789eff3ea87ecd5027f?cid=92635a7f55d045ebb6fb8dee4927d449,224694,2021-11-14T09:19:45Z
global,GO,2021-11-14 08:00:03.924434,Lil Nas X,INDUSTRY BABY (feat. Jack Harlow),5Z9KJZvQzH6PFmb8SNkxuk,90,4,https://p.scdn.co/mp3-preview/c1cb40d748692992bd5e476fc17ffe16f31016e3?cid=92635a7f55d045ebb6fb8dee4927d449,212352,2021-11-14T09:19:45Z
global,GO,2021-11-14 08:00:03.924434,Elton John,Cold Heart - PNAU Remix,7rglLriMNBPAyuJOMGwi39,83,5,,202735,2021-11-14T09:19:45Z
global,GO,2021-11-14 08:00:03.924434,Ed Sheeran,Shivers,50nfwKoDiSYg8zOCREWAm5,90,6,https://p.scdn.co/mp3-preview/bb9f413d6876e265d09a5d2d93345c64f8ac4de8?cid=92635a7f55d045ebb6fb8dee4927d449,207853,2021-11-14T09:19:45Z
global,GO,2021-11-14 08:00:03.924434,Glass Animals,Heat Waves,02MWAaffLxlfxAUY7c5dvx,91,7,,238805,2021-11-14T09:19:45Z
global,GO,2021-11-14 08:00:03.924434,Bruno Mars,Smokin Out The Window,7sMBvZCSUl99bJLXZaLa0b,44,8,https://p.scdn.co/mp3-preview/5c0216fcadf85b6dd7653bada342ead1f0881db8?cid=92635a7f55d045ebb6fb8dee4927d449,197442,2021-11-14T09:19:45Z
global,GO,2021-11-14 08:00:03.924434,Farruko,Pepas,2B4GHvToeLTOBB4QLzW3Ni,84,9,https://p.scdn.co/mp3-preview/890f6034cf93d666d0f89d5724430c6ddd276eb2?cid=92635a7f55d045ebb6fb8dee4927d449,287120,2021-11-14T09:19:45Z
global,GO,2021-11-14 08:00:03.924434,Ed Sheeran,Bad Habits,3rmo8F54jFF8OgYsqTxm5d,84,10,https://p.scdn.co/mp3-preview/e0440ae1a5a38687fb54170742e9b83ebd33ddf3?cid=92635a7f55d045ebb6fb8dee4927d449,230746,2021-11-14T09:19:45Z
