capture_dttm,track_artist,track_name,track_id,track_popularity,track_number,track_preview_url,track_duration,track_added_date
2021-11-19 18:37:05.877098,Adele,Oh My God,3Kkjo3cT83cw09VJyrLNwX,0,1,https://p.scdn.co/mp3-preview/c37959aa69d5ff67815e8748451b32b6c81d84a8?cid=92635a7f55d045ebb6fb8dee4927d449,225148,2021-11-19T05:00:00Z
2021-11-19 18:37:05.877098,Kanye West,Life Of The Party (with André 3000),2yBb1CRq98SSWRuDSn36SZ,71,2,,391656,2021-11-19T05:00:00Z
2021-11-19 18:37:05.877098,KAYTRANADA,Intimidated (feat. H.E.R.),0dFdGPVLs3k0z9ezYWZzUa,0,3,https://p.scdn.co/mp3-preview/291d4958a333aef2d1dea0ae33329e357635dbae?cid=92635a7f55d045ebb6fb8dee4927d449,207840,2021-11-19T05:00:00Z
2021-11-19 18:37:05.877098,Adele,Can I Get It,6w8ZPYdnGajyfPddTWdthN,0,4,https://p.scdn.co/mp3-preview/fcbda57102f62fbab2f827dd4719e038ddfd3e61?cid=92635a7f55d045ebb6fb8dee4927d449,210384,2021-11-19T05:00:00Z
2021-11-19 18:37:05.877098,Saweetie,Icy Chain,5MkPZ9VprDSFTljruLxDEd,0,5,https://p.scdn.co/mp3-preview/d3e580c87f0b75de7921529637fe9251ce4ed133?cid=92635a7f55d045ebb6fb8dee4927d449,110790,2021-11-19T05:00:00Z
2021-11-19 18:37:05.877098,NLE Choppa,I.Y.B.,2sU586qrQQhByPLqEF7pLX,0,6,https://p.scdn.co/mp3-preview/ea5fbc2c329713089bfde84e7e9380907f745404?cid=92635a7f55d045ebb6fb8dee4927d449,93498,2021-11-19T05:00:00Z
2021-11-19 18:37:05.877098,100 gecs,mememe,2Tdkz4mLxN8szqcMeNWcI8,0,7,https://p.scdn.co/mp3-preview/37fe6d4e6d864ed2bcf04bf701362536203888e1?cid=92635a7f55d045ebb6fb8dee4927d449,166003,2021-11-19T05:00:00Z
2021-11-19 18:37:05.877098,Isaiah Rashad,Geordan Favors (feat. Deante' Hitchcock),3VI1Raz5Z7HivJBuGeJMrq,0,8,https://p.scdn.co/mp3-preview/92539dfef0b392d5a0634a51db056484be29d0f4?cid=92635a7f55d045ebb6fb8dee4927d449,193007,2021-11-19T05:00:00Z
2021-11-19 18:37:05.877098,FKA twigs,Measure of a Man (feat. Central Cee),3gjKJ0RjjEddIJW0NDDZ1r,0,9,https://p.scdn.co/mp3-preview/bcfe2806704fad3be9ecac5282c6ee77ebc9b0e6?cid=92635a7f55d045ebb6fb8dee4927d449,195466,2021-11-19T05:00:00Z
2021-11-19 18:37:05.877098,Adele,To Be Loved,10ImcQk9tihY1EKMDIbvXJ,0,10,https://p.scdn.co/mp3-preview/7c9f63344451d8ca4736ce95ae2adbe00f368876?cid=92635a7f55d045ebb6fb8dee4927d449,403961,2021-11-19T05:00:00Z
2021-11-19 18:37:05.877098,Rico Nasty,Money (feat. Flo Milli),2xo2fUrwrdOruV2zdNtWoP,10,11,https://p.scdn.co/mp3-preview/803a2433875f5a40a77127f79ddba311d2c445b1?cid=92635a7f55d045ebb6fb8dee4927d449,150652,2021-11-19T05:00:00Z
2021-11-19 18:37:05.877098,French Montana,Handstand (with Doja Cat feat. Saweetie),0JcgIOrlZ0CNUOPxyudnrK,32,12,https://p.scdn.co/mp3-preview/2f01edad2bf1f4b938e8e648954ac977a35de817?cid=92635a7f55d045ebb6fb8dee4927d449,170057,2021-11-19T05:00:00Z
2021-11-19 18:37:05.877098,Freddie Gibbs,Black Illuminati (feat. Jadakiss),3HicZmZQqn09gi8xG7v9iZ,0,13,https://p.scdn.co/mp3-preview/ec74e2bac49580ab1ffd23672b386927265b7623?cid=92635a7f55d045ebb6fb8dee4927d449,229333,2021-11-19T05:00:00Z
2021-11-19 18:37:05.877098,Leon Bridges,Summer Rain (feat. Jazmine Sullivan),4fPO3377M8WMykvWUJmzeO,32,14,https://p.scdn.co/mp3-preview/46a0c5212328b6602709351361063d9c171842df?cid=92635a7f55d045ebb6fb8dee4927d449,164038,2021-11-19T05:00:00Z
2021-11-19 18:37:05.877098,Sanni,Bling Up,395GwdPbJqFzM7ihmlCe8Z,0,15,https://p.scdn.co/mp3-preview/7c359fe3267f99ba8b79b8239d74ce95a6cfc4fc?cid=92635a7f55d045ebb6fb8dee4927d449,178485,2021-11-19T05:00:00Z
2021-11-19 18:37:05.877098,Fred again..,Kahan (Last Year),0fGsBRR1Am2H5nIQx9nFCT,25,16,https://p.scdn.co/mp3-preview/cf765643b010225927667dd6f3d2606f7e7e9970?cid=92635a7f55d045ebb6fb8dee4927d449,216000,2021-11-19T05:00:00Z
2021-11-19 18:37:05.877098,Sub Urban,PARAMOUR (feat. AURORA),1erjalqVwLQT2t1ZWcas9P,0,17,https://p.scdn.co/mp3-preview/2dfee146040d8072ceb8fb8c27b4a21d8e786c27?cid=92635a7f55d045ebb6fb8dee4927d449,168433,2021-11-19T05:00:00Z
2021-11-19 18:37:05.877098,FLETCHER,Cherry (feat. Hayley Kiyoko),1o9kTjiWJ5lTgKonUK6jAU,51,18,,152511,2021-11-19T05:00:00Z
2021-11-19 18:37:05.877098,H.E.R.,"Automatic Woman - from the ""Bruised"" Soundtrack",0ueoValmpkImjA06FLPDfx,0,19,https://p.scdn.co/mp3-preview/d26cf899577c885d45f7e8bda1fa779e773d29e0?cid=92635a7f55d045ebb6fb8dee4927d449,238003,2021-11-19T05:00:00Z
2021-11-19 18:37:05.877098,chloe moriondo,Dizzy (feat. Thomas Headon and Alfie Templeman),3Gplr4iOpewQ9ynbZujzlu,0,20,https://p.scdn.co/mp3-preview/c0208146b67f6c3a61bb5f30877de7937a0314f8?cid=92635a7f55d045ebb6fb8dee4927d449,158240,2021-11-19T05:00:00Z
2021-11-19 18:37:05.877098,Kacey Musgraves,Fix You,0vzv4fNNHbkVCTVGQwxxGw,48,21,,141160,2021-11-19T05:00:00Z
2021-11-19 18:37:05.877098,Cole Swindell,Never Say Never (with Lainey Wilson),03kCiUPjdAV9ur9ugm8PQT,3,22,https://p.scdn.co/mp3-preview/75ec52f6dc794834b28c657a41f331d869d1c91d?cid=92635a7f55d045ebb6fb8dee4927d449,176146,2021-11-19T05:00:00Z
2021-11-19 18:37:05.877098,Alesso,Somebody To Use,2CMGiyYO8H8GhPwS73LL13,0,23,,154031,2021-11-19T05:00:00Z
