,variable 1,variable 2,correlation
0,Unnamed: 0,Unnamed: 0,1.0
1,Unnamed: 0,danceability,-0.08114939057376637
2,Unnamed: 0,energy,-0.09414228437136325
3,Unnamed: 0,key,-0.007492142705659848
4,Unnamed: 0,loudness,-0.17712784584884061
5,Unnamed: 0,mode,0.024966588512802125
6,Unnamed: 0,speechiness,0.0771635279995024
7,Unnamed: 0,acousticness,-0.0018710092418462187
8,Unnamed: 0,instrumentalness,0.0967459428315141
9,Unnamed: 0,liveness,0.025767288090798285
10,Unnamed: 0,valence,-0.07765390424380925
11,Unnamed: 0,tempo,-0.03714246195884192
12,Unnamed: 0,popularity,-0.3148836409522618
13,Unnamed: 0,cluster,-0.0881221738487154
14,Unnamed: 0,pl_count,-0.18813956749057437
15,danceability,Unnamed: 0,-0.08114939057376637
16,danceability,danceability,1.0
17,danceability,energy,0.183287329623311
18,danceability,key,0.05803300692202801
19,danceability,loudness,0.15205742856965057
20,danceability,mode,-0.15059907210343368
21,danceability,speechiness,0.2481354494748906
22,danceability,acousticness,-0.28838476723302003
23,danceability,instrumentalness,-0.06125315974894183
24,danceability,liveness,-0.04189884743324662
25,danceability,valence,0.3666331020294036
26,danceability,tempo,-0.09948204962319948
27,danceability,popularity,0.003690463232587653
28,danceability,cluster,0.3410951370478979
29,danceability,pl_count,0.02341442035097557
30,energy,Unnamed: 0,-0.09414228437136325
31,energy,danceability,0.183287329623311
32,energy,energy,1.0
33,energy,key,0.08387869089281674
34,energy,loudness,0.7066964158665675
35,energy,mode,-0.0987470392351959
36,energy,speechiness,0.06076364145723254
37,energy,acousticness,-0.5766034878246812
38,energy,instrumentalness,-0.1643331625310106
39,energy,liveness,0.1653247859708867
40,energy,valence,0.4179155418025822
41,energy,tempo,0.11429548905631567
42,energy,popularity,0.09878351938200558
43,energy,cluster,0.4687285758347304
44,energy,pl_count,0.057290219028490005
45,key,Unnamed: 0,-0.007492142705659848
46,key,danceability,0.05803300692202801
47,key,energy,0.08387869089281674
48,key,key,1.0
49,key,loudness,0.047637374642296455
50,key,mode,-0.14976981014626978
51,key,speechiness,0.015362613676036987
52,key,acousticness,-0.02732937069484145
53,key,instrumentalness,-0.006033671523089305
54,key,liveness,0.010075766692917085
55,key,valence,0.054453863317201416
56,key,tempo,0.00894875094570167
57,key,popularity,-0.016132315721061257
58,key,cluster,0.07047795338401362
59,key,pl_count,-0.02828630029022434
60,loudness,Unnamed: 0,-0.17712784584884061
61,loudness,danceability,0.15205742856965057
62,loudness,energy,0.7066964158665675
63,loudness,key,0.047637374642296455
64,loudness,loudness,1.0
65,loudness,mode,-0.01352205825862703
66,loudness,speechiness,-0.061539343849267576
67,loudness,acousticness,-0.4024020847762836
68,loudness,instrumentalness,-0.4066635459855678
69,loudness,liveness,0.10089156322719248
70,loudness,valence,0.30493941893115656
71,loudness,tempo,0.05576875326491813
72,loudness,popularity,0.27870530053359766
73,loudness,cluster,0.3531818188105452
74,loudness,pl_count,0.10412319144443512
75,mode,Unnamed: 0,0.024966588512802125
76,mode,danceability,-0.15059907210343368
77,mode,energy,-0.0987470392351959
78,mode,key,-0.14976981014626978
79,mode,loudness,-0.01352205825862703
80,mode,mode,1.0
81,mode,speechiness,-0.12039475458767428
82,mode,acousticness,0.05818083748182774
83,mode,instrumentalness,0.019508530020176662
84,mode,liveness,0.05632512628174469
85,mode,valence,-0.09956205059186234
86,mode,tempo,-0.01765121732441416
87,mode,popularity,0.05804027844115134
88,mode,cluster,-0.056862122796879154
89,mode,pl_count,0.011045177475731638
90,speechiness,Unnamed: 0,0.0771635279995024
91,speechiness,danceability,0.2481354494748906
92,speechiness,energy,0.06076364145723254
93,speechiness,key,0.015362613676036987
94,speechiness,loudness,-0.061539343849267576
95,speechiness,mode,-0.12039475458767428
96,speechiness,speechiness,1.0
97,speechiness,acousticness,-0.09433050588079553
98,speechiness,instrumentalness,-0.0893636766552164
99,speechiness,liveness,0.03360723825131161
100,speechiness,valence,0.0935532691642055
101,speechiness,tempo,0.07154935913630135
102,speechiness,popularity,-0.0697796205119397
103,speechiness,cluster,-0.12143929835512042
104,speechiness,pl_count,-0.05234636038787728
105,acousticness,Unnamed: 0,-0.0018710092418462187
106,acousticness,danceability,-0.28838476723302003
107,acousticness,energy,-0.5766034878246812
108,acousticness,key,-0.02732937069484145
109,acousticness,loudness,-0.4024020847762836
110,acousticness,mode,0.05818083748182774
111,acousticness,speechiness,-0.09433050588079553
112,acousticness,acousticness,1.0
113,acousticness,instrumentalness,0.11213351489623323
114,acousticness,liveness,-0.029171230403852843
115,acousticness,valence,-0.21594090078091974
116,acousticness,tempo,-0.05622305557416507
117,acousticness,popularity,-0.03278877171737736
118,acousticness,cluster,-0.5089003240041707
119,acousticness,pl_count,-0.0841116017048573
120,instrumentalness,Unnamed: 0,0.0967459428315141
121,instrumentalness,danceability,-0.06125315974894183
122,instrumentalness,energy,-0.1643331625310106
123,instrumentalness,key,-0.006033671523089305
124,instrumentalness,loudness,-0.4066635459855678
125,instrumentalness,mode,0.019508530020176662
126,instrumentalness,speechiness,-0.0893636766552164
127,instrumentalness,acousticness,0.11213351489623323
128,instrumentalness,instrumentalness,1.0
129,instrumentalness,liveness,-0.026971670084526594
130,instrumentalness,valence,-0.12109835586339457
131,instrumentalness,tempo,0.0005144535752063158
132,instrumentalness,popularity,-0.09842331751494533
133,instrumentalness,cluster,-0.03708766477162202
134,instrumentalness,pl_count,-0.02143196081435112
135,liveness,Unnamed: 0,0.025767288090798285
136,liveness,danceability,-0.04189884743324662
137,liveness,energy,0.1653247859708867
138,liveness,key,0.010075766692917085
139,liveness,loudness,0.10089156322719248
140,liveness,mode,0.05632512628174469
141,liveness,speechiness,0.03360723825131161
