,variable 1,variable 2,correlation,correlation_label
0,Unnamed: 0,Unnamed: 0,1.0,1.00
1,Unnamed: 0,danceability,-0.08114939057376637,-0.08
2,Unnamed: 0,energy,-0.09414228437136325,-0.09
3,Unnamed: 0,key,-0.007492142705659848,-0.01
4,Unnamed: 0,loudness,-0.17712784584884061,-0.18
5,Unnamed: 0,mode,0.024966588512802125,0.02
6,Unnamed: 0,speechiness,0.0771635279995024,0.08
7,Unnamed: 0,acousticness,-0.0018710092418462187,-0.00
8,Unnamed: 0,instrumentalness,0.0967459428315141,0.10
9,Unnamed: 0,liveness,0.025767288090798285,0.03
10,Unnamed: 0,valence,-0.07765390424380925,-0.08
11,Unnamed: 0,tempo,-0.03714246195884192,-0.04
13,Unnamed: 0,cluster,-0.0881221738487154,-0.09
15,danceability,Unnamed: 0,-0.08114939057376637,-0.08
16,danceability,danceability,1.0,1.00
17,danceability,energy,0.183287329623311,0.18
18,danceability,key,0.05803300692202801,0.06
19,danceability,loudness,0.15205742856965057,0.15
20,danceability,mode,-0.15059907210343368,-0.15
21,danceability,speechiness,0.2481354494748906,0.25
22,danceability,acousticness,-0.28838476723302003,-0.29
23,danceability,instrumentalness,-0.06125315974894183,-0.06
24,danceability,liveness,-0.04189884743324662,-0.04
25,danceability,valence,0.3666331020294036,0.37
26,danceability,tempo,-0.09948204962319948,-0.10
28,danceability,cluster,0.3410951370478979,0.34
30,energy,Unnamed: 0,-0.09414228437136325,-0.09
31,energy,danceability,0.183287329623311,0.18
32,energy,energy,1.0,1.00
33,energy,key,0.08387869089281674,0.08
34,energy,loudness,0.7066964158665675,0.71
35,energy,mode,-0.0987470392351959,-0.10
36,energy,speechiness,0.06076364145723254,0.06
37,energy,acousticness,-0.5766034878246812,-0.58
38,energy,instrumentalness,-0.1643331625310106,-0.16
39,energy,liveness,0.1653247859708867,0.17
40,energy,valence,0.4179155418025822,0.42
41,energy,tempo,0.11429548905631567,0.11
43,energy,cluster,0.4687285758347304,0.47
45,key,Unnamed: 0,-0.007492142705659848,-0.01
46,key,danceability,0.05803300692202801,0.06
47,key,energy,0.08387869089281674,0.08
48,key,key,1.0,1.00
49,key,loudness,0.047637374642296455,0.05
50,key,mode,-0.14976981014626978,-0.15
51,key,speechiness,0.015362613676036987,0.02
52,key,acousticness,-0.02732937069484145,-0.03
53,key,instrumentalness,-0.006033671523089305,-0.01
54,key,liveness,0.010075766692917085,0.01
55,key,valence,0.054453863317201416,0.05
56,key,tempo,0.00894875094570167,0.01
58,key,cluster,0.07047795338401362,0.07
60,loudness,Unnamed: 0,-0.17712784584884061,-0.18
61,loudness,danceability,0.15205742856965057,0.15
62,loudness,energy,0.7066964158665675,0.71
63,loudness,key,0.047637374642296455,0.05
64,loudness,loudness,1.0,1.00
65,loudness,mode,-0.01352205825862703,-0.01
66,loudness,speechiness,-0.061539343849267576,-0.06
67,loudness,acousticness,-0.4024020847762836,-0.40
68,loudness,instrumentalness,-0.4066635459855678,-0.41
69,loudness,liveness,0.10089156322719248,0.10
70,loudness,valence,0.30493941893115656,0.30
71,loudness,tempo,0.05576875326491813,0.06
73,loudness,cluster,0.3531818188105452,0.35
75,mode,Unnamed: 0,0.024966588512802125,0.02
76,mode,danceability,-0.15059907210343368,-0.15
77,mode,energy,-0.0987470392351959,-0.10
78,mode,key,-0.14976981014626978,-0.15
79,mode,loudness,-0.01352205825862703,-0.01
80,mode,mode,1.0,1.00
81,mode,speechiness,-0.12039475458767428,-0.12
82,mode,acousticness,0.05818083748182774,0.06
83,mode,instrumentalness,0.019508530020176662,0.02
84,mode,liveness,0.05632512628174469,0.06
85,mode,valence,-0.09956205059186234,-0.10
86,mode,tempo,-0.01765121732441416,-0.02
88,mode,cluster,-0.056862122796879154,-0.06
90,speechiness,Unnamed: 0,0.0771635279995024,0.08
91,speechiness,danceability,0.2481354494748906,0.25
92,speechiness,energy,0.06076364145723254,0.06
93,speechiness,key,0.015362613676036987,0.02
94,speechiness,loudness,-0.061539343849267576,-0.06
95,speechiness,mode,-0.12039475458767428,-0.12
96,speechiness,speechiness,1.0,1.00
97,speechiness,acousticness,-0.09433050588079553,-0.09
98,speechiness,instrumentalness,-0.0893636766552164,-0.09
99,speechiness,liveness,0.03360723825131161,0.03
100,speechiness,valence,0.0935532691642055,0.09
