variable 1,variable 2,correlation
danceability,danceability,1.0
danceability,energy,0.183287329623311
danceability,key,0.05803300692202801
danceability,loudness,0.15205742856965057
danceability,mode,-0.15059907210343368
danceability,speechiness,0.2481354494748906
danceability,acousticness,-0.28838476723302003
danceability,instrumentalness,-0.06125315974894183
danceability,liveness,-0.04189884743324662
danceability,valence,0.3666331020294036
danceability,tempo,-0.09948204962319948
danceability,popularity,0.003690463232587653
danceability,cluster,0.3410951370478979
danceability,pl_count,0.02341442035097557
energy,danceability,0.183287329623311
energy,energy,1.0
energy,key,0.08387869089281674
energy,loudness,0.7066964158665675
energy,mode,-0.0987470392351959
energy,speechiness,0.06076364145723254
energy,acousticness,-0.5766034878246812
energy,instrumentalness,-0.1643331625310106
energy,liveness,0.1653247859708867
energy,valence,0.4179155418025822
energy,tempo,0.11429548905631567
energy,popularity,0.09878351938200558
energy,cluster,0.4687285758347304
energy,pl_count,0.057290219028490005
key,danceability,0.05803300692202801
key,energy,0.08387869089281674
key,key,1.0
key,loudness,0.047637374642296455
key,mode,-0.14976981014626978
key,speechiness,0.015362613676036987
key,acousticness,-0.02732937069484145
key,instrumentalness,-0.006033671523089305
key,liveness,0.010075766692917085
key,valence,0.054453863317201416
key,tempo,0.00894875094570167
key,popularity,-0.016132315721061257
key,cluster,0.07047795338401362
key,pl_count,-0.02828630029022434
loudness,danceability,0.15205742856965057
loudness,energy,0.7066964158665675
loudness,key,0.047637374642296455
loudness,loudness,1.0
loudness,mode,-0.01352205825862703
loudness,speechiness,-0.061539343849267576
loudness,acousticness,-0.4024020847762836
loudness,instrumentalness,-0.4066635459855678
loudness,liveness,0.10089156322719248
loudness,valence,0.30493941893115656
loudness,tempo,0.05576875326491813
loudness,popularity,0.27870530053359766
loudness,cluster,0.3531818188105452
loudness,pl_count,0.10412319144443512
mode,danceability,-0.15059907210343368
mode,energy,-0.0987470392351959
mode,key,-0.14976981014626978
mode,loudness,-0.01352205825862703
mode,mode,1.0
mode,speechiness,-0.12039475458767428
mode,acousticness,0.05818083748182774
mode,instrumentalness,0.019508530020176662
mode,liveness,0.05632512628174469
mode,valence,-0.09956205059186234
mode,tempo,-0.01765121732441416
mode,popularity,0.05804027844115134
mode,cluster,-0.056862122796879154
mode,pl_count,0.011045177475731638
speechiness,danceability,0.2481354494748906
speechiness,energy,0.06076364145723254
speechiness,key,0.015362613676036987
speechiness,loudness,-0.061539343849267576
speechiness,mode,-0.12039475458767428
speechiness,speechiness,1.0
speechiness,acousticness,-0.09433050588079553
speechiness,instrumentalness,-0.0893636766552164
speechiness,liveness,0.03360723825131161
speechiness,valence,0.0935532691642055
speechiness,tempo,0.07154935913630135
speechiness,popularity,-0.0697796205119397
speechiness,cluster,-0.12143929835512042
speechiness,pl_count,-0.05234636038787728
acousticness,danceability,-0.28838476723302003
acousticness,energy,-0.5766034878246812
acousticness,key,-0.02732937069484145
acousticness,loudness,-0.4024020847762836
acousticness,mode,0.05818083748182774
acousticness,speechiness,-0.09433050588079553
acousticness,acousticness,1.0
acousticness,instrumentalness,0.11213351489623323
acousticness,liveness,-0.029171230403852843
acousticness,valence,-0.21594090078091974
acousticness,tempo,-0.05622305557416507
acousticness,popularity,-0.03278877171737736
