country,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo_1,duration_ms,popularity,basic_kmeans_cluster,chroma,chroma_cens,mff,spectral_centroid,spectral_bandwidth,spectral_contrast,spectral_flatness,Spectral_Rolloff,poly_features,tonnetz,ZCR,onset_strength,pitch,magnitude,tempo_2,adv_kmeans_cluster,pl_count
global,0.604,0.366,5,-7.519,1,0.0282,0.578,0.0,0.133,0.13,141.981,224695,100,1,0.28596696,0.215256518,4.5777745,2361.75946,2706.643701,24.71358898,0.008881651,5533.99987,2.471785323,0.02149138,0.086945052,1.3764478,8.89463,0.27014005,143.5546875,3,63
argentina,0.604,0.366,5,-7.519,1,0.0282,0.578,0.0,0.133,0.13,141.981,224695,100,1,0.28596696,0.215256518,4.5777745,2361.75946,2706.643701,24.71358898,0.008881651,5533.99987,2.471785323,0.02149138,0.086945052,1.3764478,8.89463,0.27014005,143.5546875,3,63
australia,0.604,0.366,5,-7.519,1,0.0282,0.578,0.0,0.133,0.13,141.981,224695,100,1,0.28596696,0.215256518,4.5777745,2361.75946,2706.643701,24.71358898,0.008881651,5533.99987,2.471785323,0.02149138,0.086945052,1.3764478,8.89463,0.27014005,143.5546875,3,63
austria,0.604,0.366,5,-7.519,1,0.0282,0.578,0.0,0.133,0.13,141.981,224695,100,1,0.28596696,0.215256518,4.5777745,2361.75946,2706.643701,24.71358898,0.008881651,5533.99987,2.471785323,0.02149138,0.086945052,1.3764478,8.89463,0.27014005,143.5546875,3,63
belgium,0.604,0.366,5,-7.519,1,0.0282,0.578,0.0,0.133,0.13,141.981,224695,100,1,0.28596696,0.215256518,4.5777745,2361.75946,2706.643701,24.71358898,0.008881651,5533.99987,2.471785323,0.02149138,0.086945052,1.3764478,8.89463,0.27014005,143.5546875,3,63
bolivia,0.604,0.366,5,-7.519,1,0.0282,0.578,0.0,0.133,0.13,141.981,224695,100,1,0.28596696,0.215256518,4.5777745,2361.75946,2706.643701,24.71358898,0.008881651,5533.99987,2.471785323,0.02149138,0.086945052,1.3764478,8.89463,0.27014005,143.5546875,3,63
brazil,0.604,0.366,5,-7.519,1,0.0282,0.578,0.0,0.133,0.13,141.981,224695,100,1,0.28596696,0.215256518,4.5777745,2361.75946,2706.643701,24.71358898,0.008881651,5533.99987,2.471785323,0.02149138,0.086945052,1.3764478,8.89463,0.27014005,143.5546875,3,63
bulgaria,0.604,0.366,5,-7.519,1,0.0282,0.578,0.0,0.133,0.13,141.981,224695,100,1,0.28596696,0.215256518,4.5777745,2361.75946,2706.643701,24.71358898,0.008881651,5533.99987,2.471785323,0.02149138,0.086945052,1.3764478,8.89463,0.27014005,143.5546875,3,63
canada,0.604,0.366,5,-7.519,1,0.0282,0.578,0.0,0.133,0.13,141.981,224695,100,1,0.28596696,0.215256518,4.5777745,2361.75946,2706.643701,24.71358898,0.008881651,5533.99987,2.471785323,0.02149138,0.086945052,1.3764478,8.89463,0.27014005,143.5546875,3,63
chile,0.604,0.366,5,-7.519,1,0.0282,0.578,0.0,0.133,0.13,141.981,224695,100,1,0.28596696,0.215256518,4.5777745,2361.75946,2706.643701,24.71358898,0.008881651,5533.99987,2.471785323,0.02149138,0.086945052,1.3764478,8.89463,0.27014005,143.5546875,3,63
